

 

objet ; structure ; cardinalités ; type ; contraintes ; constantes ; sémantique ; documentation

Date;
1;day;;entier ; lg.=2;;Day;
2;month;;entier ; lg.=2;;Month;
3;year;;entier ; lg.=4;;Year;

objet ; structure ; cardinalités ; type ; contraintes ; constantes ; sémantique ; documentation

Invoice;
1;header;;;;Header;
2;items;[1..*];;;Item;

objet ; structure ; cardinalités ; type ; contraintes ; constantes ; sémantique ; documentation

Header;
1;date;;;;Date;
2;billTo;;;;BillTo;

objet ; structure ; cardinalités ; type ; contraintes ; constantes ; sémantique ; documentation

Item;
1;description;;carractère ; lg.=100;;Description;
2;price;;decimal ; lg.=8;;Price;
3;discount;;decimal ; lg.=4;;Discount;

objet ; structure ; cardinalités ; type ; contraintes ; constantes ; sémantique ; documentation

BillTo;
1;customerNumber;;entier ; lg.=6;;CustNumber;
2;name;;carractère ; lg.=40;;Name;
3;maried;;enum ; lg.=1;as String;O_N;
4;phone;;carractère ; lg.=8;;Phone;
5;address;;;;Address;

objet ; structure ; cardinalités ; type ; contraintes ; constantes ; sémantique ; documentation

Address;
1;street1;;carractère ; lg.=38;;StreetLine;
2;street2;[0..1];carractère ; lg.=38;;StreetLine;
3;city;;carractère ; lg.=40;;City;
4;state;;carractère ; lg.=20;;State;
5;province;;carractère ; lg.=20;;Province;
6;zip;;carractère ; lg.=9;;Zip;
