
module;action;source;destination;type source;type desti;valeur;régles;documentation

invoiceDTD2InovoiceXSD


invoiceDTD2Adress

;map;invoice_dtd.Address.street1;address.Address.line1;invoice_dtd.StreetLine.street1;address.Libelle.line1;;;




;map;invoice_dtd.Address.street2;address.Address.line2,address.Address.line3;invoice_dtd.StreetLine.street2;address.Libelle.line2,address.Libelle.line3;;split;operation specifique de split ou aggregation




;map;invoice_dtd.Address.zip;address.Address.postalCode;invoice_dtd.Zip.zip;address.PostalCode.postalCode;;;




;map;invoice_dtd.Address.city;address.Address.city;invoice_dtd.City.city;address.City.city;;;




;ignore ;invoice_dtd.Address.province,invoice_dtd.Address.state;;invoice_dtd.Province.province,invoice_dtd.State.state;;;;

;set ;;address.Address.line4;;address.Libelle.line4;pas d'info de livraison;;

;
invoiceDTD2Date

;map;invoice_dtd.Date.day,invoice_dtd.Date.month,invoice_dtd.Date.year;invoice_xsd.Header.date;invoice_dtd.Day.day,invoice_dtd.Month.month,invoice_dtd.Year.year;invoice_xsd.Date.date;;aggregate;operation specifique de split ou aggregation




;
inoiceDTD2InvoiceXSDItem

;map;invoice_dtd.Item.description;invoice_xsd.Item.description;invoice_dtd.Description.description;invoice_xsd.Description.description;;multiple;




;map;invoice_dtd.Item.discount;invoice_xsd.Item.discount;invoice_dtd.Discount.discount;invoice_xsd.Discount.discount;;;




;map;invoice_dtd.Item.discount;invoice_xsd.Item.price;invoice_dtd.Discount.discount;invoice_xsd.Price.price;;;




;
